codice_istat;denominazione_ita_altra;denominazione_ita;denominazione_altra;cap;sigla_provincia;denominazione_provincia;tipologia_provincia;codice_regione;denominazione_regione;tipologia_regione;ripartizione_geografica;flag_capoluogo;codice_belfiore;lat;lon;superficie_kmq
001001;Agliè;Agliè;;10011;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A074;45,3634669;7,7686057;13,2407
001002;Airasca;Airasca;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A109;44,9170061;7,4845045;16,0327
001003;"Ala di Stura";"Ala di Stura";;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A117;45,3149237;7,3043670;46,1749
001004;"Albiano d'Ivrea";"Albiano d'Ivrea";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A157;45,4336463;7,9495045;11,6770
001006;Almese;Almese;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A218;45,1176654;7,3951859;17,9879
001007;Alpette;Alpette;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A221;45,4099554;7,5785615;5,5557
001008;Alpignano;Alpignano;;10091;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A222;45,0944686;7,5242628;11,8972
001009;Andezeno;Andezeno;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A275;45,0358946;7,8699281;7,4766
001010;Andrate;Andrate;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A282;45,5283724;7,8738546;9,3573
001011;Angrogna;Angrogna;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A295;44,8436082;7,2242658;38,4088
001012;Arignano;Arignano;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A405;45,0437016;7,9018970;7,9611
001013;Avigliana;Avigliana;;10051;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A518;45,0793678;7,3963516;22,9933
001014;Azeglio;Azeglio;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A525;45,4248532;7,9947436;9,8641
001015;Bairo;Bairo;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A584;45,3862699;7,7569141;7,0805
001016;Balangero;Balangero;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A587;45,2700030;7,5192683;12,9315
001017;"Baldissero Canavese";"Baldissero Canavese";;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A590;45,4084019;7,7443534;4,6465
001018;"Baldissero Torinese";"Baldissero Torinese";;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A591;45,0684291;7,8177989;15,5118
001019;Balme;Balme;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A599;45,3023388;7,2183609;62,7379
001020;Banchette;Banchette;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A607;45,4608248;7,8563818;2,0108
001021;Barbania;Barbania;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A625;45,2904913;7,6304781;12,7821
001022;Bardonecchia;Bardonecchia;;10052;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A651;45,0781507;6,7038976;132,3111
001023;"Barone Canavese";"Barone Canavese";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A673;45,3277288;7,8705578;3,9888
001024;Beinasco;Beinasco;;10092;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A734;45,0220788;7,5790186;6,9173
001025;Bibiana;Bibiana;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A853;44,7975980;7,2898046;18,4711
001026;"Bobbio Pellice";"Bobbio Pellice";;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A910;44,8076971;7,1170209;94,1049
001027;Bollengo;Bollengo;;10012;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A941;45,4733455;7,9453007;14,3398
001028;"Borgaro Torinese";"Borgaro Torinese";;10071;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A990;45,1520050;7,6578945;10,8136
001029;Borgiallo;Borgiallo;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B003;45,4167662;7,6677454;7,0506
001030;"Borgofranco d'Ivrea";"Borgofranco d'Ivrea";;10013;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B015;45,5124142;7,8594264;13,3007
001031;Borgomasino;Borgomasino;;10031;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B021;45,3616875;7,9887949;12,0970
001032;"Borgone Susa";"Borgone Susa";;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B024;45,1231172;7,2412061;4,9407
001033;Bosconero;Bosconero;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B075;45,2686534;7,7651464;10,9326
001034;Brandizzo;Brandizzo;;10032;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B121;45,1775115;7,8414393;6,3944
001035;Bricherasio;Bricherasio;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B171;44,8255744;7,3028322;22,8629
